name,full_name,age,gender,wikidata_id
ALBARRACIN Matias,Matías Albarracín,45,Male,Q26464487
ALBAYRAK Vedat,Vedat Albayrak,31,Male,Q26270598
ALBERS Felice,Felice Albers,25,Female,Q65920983
ALBERTARRIO Agustina,Agustina Albertario,31,Female,Q16145985
ALBICY Andrew,Andrew Albicy,34,Male,Q2437358
ALBRECHT Samuel,Albert Anker,193,Male,Q72510
ALDASS Sanda,Sanda Aldass,34,Female,Q107578250
ALDAWSARI Khalifah,Khalifah Aldawsari,Unknown,Unknown,Q92102653
ALDERSEY Olympia,Olympia Aldersey,32,Female,Q16002428
ALEKSANDROVA Ekaterina,Ekaterina Tsipusheva,Unknown,Female,Q50881875
ALEKSANYAN Artur,Artur Aleksanyan,33,Male,Q16370810
ALEKSIC Maja,Maja Aleksić,27,Female,Q56685716
ALEKSIC Milan,Milan Aleksic,62,Male,Q30309714
ALEKSIIVA Maryna,Maryna Aleksiiva,23,Female,Q33133752
ALEKSIIVA Vladyslava,Vladyslava Aleksiiva,23,Female,Q33133755
ALEMU Habitam,Habitam Alemu,27,Female,Q20902044
ALESSIO Simone,Alessio Simonetti,Unknown,Unknown,Q114417123
ALEXANDER Kayla,Kayla Alexander,33,Female,Q16020945
ALEXANDRI Anna-Maria,Anna-Maria Alexandri,27,Female,Q26459673
ALEXIUSSON Agnes,Agnes Alexiusson,28,Female,Q65098377
ALHASSAN Ali,Ali AlHassan,Unknown,Unknown,Q89680811
ALHASSANE Ismael,Ismael Alhassane,30,Male,Q107819999
ALI Hasan,Ali Hasan,70,Male,Q106036989
ALI Mohamed,Ali Mohamed,29,Male,Q27243375
ALI Selin,Selin Ali,22,Female,Q107719185
ALIEV Mourad,Mourad Aliev,29,Male,Q64875891
ALIKAJ Ahmad,Ahmad Alikaj,33,Male,Q107630695
ALIMURADOVA Laman,Laman Alimuradova,20,Female,Q104029060
ALINE,Aline,Unknown,Unknown,Q18180444
ALIPOV Alexey,Aleksei Alipov,49,Male,Q2595556
ALIREZA Husein,Husein Alireza,31,Male,Q107618967
ALIYEV Haji,Haji Aliyev,33,Male,Q16013139
ALIZADEH Dara,Dara Alizadeh,31,Male,Q107591058
ALKANA Antonio,Antonio Alkana,34,Male,Q20851195
ALLEMAND Julie,Julie Allemand,28,Female,Q42894095
ALLEN Bec,Allen D Beck,Unknown,Unknown,Q96245067
ALLEN Bertram,Allen B. Rosenstein,104,Male,Q15995437
ALLEN Devon,Devon Allen,30,Male,Q18016146
ALLEN Nathon,Nathon Allen,29,Male,Q24852525
